facility__i_d,facility__name,address,city/_town,state,z_i_p__code,county/_parish,telephone__number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_(lowest)_to_10_(highest),patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_(lowest)_to_10_(highest),patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_(lowest)_to_10_(highest),patients'_rating_of_the_facility_linear_mean_score,patients_who_reported__y_e_s_they_would__d_e_f_i_n_i_t_e_l_y_recommend_the_facility_to_family_or_friends,patients_who_reported__p_r_o_b_a_b_l_y__y_e_s_they_would_recommend_the_facility_to_family_or_friends,"patients_who_reported__n_o,_they_would_not_recommend_the_facility_to_family_or_friends",patients_recommending_the_facility_linear_mean_score,footnote,number_of__sampled__patients,number_of__completed__surveys,survey__response__rate__percent,start__date,end__date
01C0001020,MEDPLEX OUTPATIENT SURGERY CENTER LTD,4511 SOUTHLAKE PARKWAY,BIRMINGHAM,AL,35244,,(205) 985-4398,98.0,2.0,0.0,99.0,95.0,4.0,1.0,97.0,94.0,5.0,1.0,96.0,90.0,9.0,1.0,96.0,,1300.0,336.0,26.0,01/01/2023,12/31/2023
01C0001042,GULF COAST SURGICAL PARTNERS LLC,"3715 DAUPHIN ST, STE. 503B",MOBILE,AL,36608,,(251) 272-4934,97.0,2.0,1.0,98.0,93.0,6.0,1.0,96.0,89.0,8.0,3.0,95.0,87.0,11.0,2.0,95.0,,1508.0,397.0,27.0,01/01/2023,12/31/2023
01C0001051,ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,2010 BROOKWOOD MEDICAL CTR DR  G100,BIRMINGHAM,AL,35209,,(205) 877-1187,97.0,3.0,0.0,98.0,94.0,5.0,1.0,96.0,87.0,11.0,2.0,94.0,86.0,13.0,1.0,95.0,,1572.0,377.0,24.0,01/01/2023,12/31/2023
01C0001053,JACKSON SURGERY CENTER LLC,1725 PARK PL,MONTGOMERY,AL,36106,,(334) 293-3920,98.0,2.0,0.0,99.0,91.0,6.0,3.0,94.0,92.0,7.0,1.0,96.0,90.0,9.0,1.0,96.0,2,717.0,175.0,24.0,01/01/2023,12/31/2023
03C0001016,SURGERY CENTER OF PEORIA,13260 NORTH 94TH DR SUITE 200,PEORIA,AZ,85381,,(623) 234-4307,97.0,3.0,0.0,99.0,90.0,8.0,2.0,94.0,87.0,8.0,5.0,94.0,86.0,13.0,1.0,95.0,,1183.0,284.0,24.0,01/01/2023,12/31/2023
03C0001043,PRESCOTT OUTPATIENT SURGICAL CENTER,815 AINSWORTH DR.,PRESCOTT,AZ,86301,,(928) 443-6566,,,,,,,,,,,,,,,,,4,,,,,
03C0001052,CENTER FOR ADVANCED SURGERY,3367 SOUTH MERCY RD SUITE 101,GILBERT,AZ,85297,,(480) 899-2571,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,94.0,5.0,1.0,97.0,91.0,9.0,0.0,97.0,,1157.0,305.0,26.0,01/01/2023,12/31/2023
03C0001056,PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,2905 WEST WARNER RD SUITE 10,CHANDLER,AZ,85282,,(480) 820-7101,97.0,3.0,0.0,99.0,91.0,6.0,3.0,94.0,91.0,7.0,2.0,95.0,86.0,12.0,2.0,95.0,,1103.0,238.0,22.0,01/01/2023,12/31/2023
03C0001247,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,8962 EAST DESERT COVE AVE SUITE 120A,SCOTTSDALE,AZ,85260,,(480) 661-5232,98.0,2.0,0.0,99.0,95.0,4.0,1.0,97.0,95.0,4.0,1.0,97.0,91.0,7.0,2.0,96.0,,823.0,234.0,28.0,01/01/2023,12/31/2023
03C0001249,SCOTTSDALE ENDOSCOPY ASC LLC DBA SCOTTSDALE ENDOSCOPY CENTER,9787 NORTH 91ST STREET SUITE 103,SCOTTSDALE,AZ,85258,,(480) 657-0889,,,,,,,,,,,,,,,,,4,,,,,
