facility__i_d,measure__i_d,value,footnote,start__date,end__date
10001,MSPB-1,1.040798,,01/01/2022,12/31/2022
10005,MSPB-1,0.954414,,01/01/2022,12/31/2022
10006,MSPB-1,1.001369,,01/01/2022,12/31/2022
10007,MSPB-1,1.010611,,01/01/2022,12/31/2022
10008,MSPB-1,1.113726,,01/01/2022,12/31/2022
10011,MSPB-1,0.996021,,01/01/2022,12/31/2022
10012,MSPB-1,1.032243,,01/01/2022,12/31/2022
10016,MSPB-1,1.064258,,01/01/2022,12/31/2022
10018,MSPB-1,,1.0,01/01/2022,12/31/2022
10019,MSPB-1,1.108961,,01/01/2022,12/31/2022
10021,MSPB-1,1.051157,,01/01/2022,12/31/2022
10022,MSPB-1,0.940302,,01/01/2022,12/31/2022
10023,MSPB-1,1.058339,,01/01/2022,12/31/2022
10024,MSPB-1,1.039962,,01/01/2022,12/31/2022
10029,MSPB-1,0.949468,,01/01/2022,12/31/2022
10033,MSPB-1,0.978641,,01/01/2022,12/31/2022
10034,MSPB-1,1.060498,,01/01/2022,12/31/2022
10035,MSPB-1,0.963144,,01/01/2022,12/31/2022
10036,MSPB-1,0.942095,,01/01/2022,12/31/2022
10039,MSPB-1,1.024765,,01/01/2022,12/31/2022
10040,MSPB-1,1.08762,,01/01/2022,12/31/2022
10044,MSPB-1,0.972353,,01/01/2022,12/31/2022
10045,MSPB-1,0.951414,,01/01/2022,12/31/2022
10046,MSPB-1,0.937788,,01/01/2022,12/31/2022
10049,MSPB-1,0.925176,,01/01/2022,12/31/2022
10051,MSPB-1,,1.0,01/01/2022,12/31/2022
10052,MSPB-1,0.934739,,01/01/2022,12/31/2022
10055,MSPB-1,1.018442,,01/01/2022,12/31/2022
10056,MSPB-1,0.99469,,01/01/2022,12/31/2022
10058,MSPB-1,1.009586,,01/01/2022,12/31/2022
10059,MSPB-1,0.955691,,01/01/2022,12/31/2022
10061,MSPB-1,0.949566,,01/01/2022,12/31/2022
10062,MSPB-1,1.101528,,01/01/2022,12/31/2022
10065,MSPB-1,0.919623,,01/01/2022,12/31/2022
10069,MSPB-1,1.035299,,01/01/2022,12/31/2022
10073,MSPB-1,1.030041,,01/01/2022,12/31/2022
10078,MSPB-1,1.077622,,01/01/2022,12/31/2022
